2017-03-30 16:07:10,667 | [60] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Buyer_GetBuyerList' object created...
2017-03-30 16:07:10,667 | [60] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-03-30 16:07:10,667 | [60] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-03-30 16:07:10,668 | [60] | DefaultLogger | INFO  - AddCommandParameters: parameter count - 6
2017-03-30 16:07:10,668 | [60] | DefaultLogger | INFO  - Parameter: Name: @ClientID, Direction: In, DataType: Int, Value: 1, Size: -1
2017-03-30 16:07:10,669 | [60] | DefaultLogger | INFO  - Parameter: Name: @StartIndex, Direction: In, DataType: Int, Value: 11, Size: -1
2017-03-30 16:07:10,669 | [60] | DefaultLogger | INFO  - Parameter: Name: @PageSize, Direction: In, DataType: Int, Value: 10, Size: -1
2017-03-30 16:07:10,669 | [60] | DefaultLogger | INFO  - Parameter: Name: @BuyerCode, Direction: In, DataType: String, Value: , Size: 20
2017-03-30 16:07:10,670 | [60] | DefaultLogger | INFO  - Parameter: Name: @FirstName, Direction: In, DataType: String, Value: , Size: 100
2017-03-30 16:07:10,670 | [60] | DefaultLogger | INFO  - Parameter: Name: @LastName, Direction: In, DataType: String, Value: , Size: 100
2017-03-30 16:07:10,671 | [60] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-03-30 16:07:10,674 | [60] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-03-30 16:07:10,675 | [60] | DefaultLogger | DEBUG - Connection closed...
2017-03-30 16:07:12,128 | [57] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-03-30 16:07:12,129 | [57] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-03-30 16:07:12,130 | [57] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-03-30 16:07:12,131 | [57] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-03-30 16:07:12,132 | [57] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-03-30 16:07:12,133 | [57] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Buyer_GetBuyerList' object created...
2017-03-30 16:07:12,134 | [57] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-03-30 16:07:12,135 | [57] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-03-30 16:07:12,136 | [57] | DefaultLogger | INFO  - AddCommandParameters: parameter count - 6
2017-03-30 16:07:12,137 | [57] | DefaultLogger | INFO  - Parameter: Name: @ClientID, Direction: In, DataType: Int, Value: 1, Size: -1
2017-03-30 16:07:12,138 | [57] | DefaultLogger | INFO  - Parameter: Name: @StartIndex, Direction: In, DataType: Int, Value: 1, Size: -1
2017-03-30 16:07:12,139 | [57] | DefaultLogger | INFO  - Parameter: Name: @PageSize, Direction: In, DataType: Int, Value: 10, Size: -1
2017-03-30 16:07:12,140 | [57] | DefaultLogger | INFO  - Parameter: Name: @BuyerCode, Direction: In, DataType: String, Value: , Size: 20
2017-03-30 16:07:12,141 | [57] | DefaultLogger | INFO  - Parameter: Name: @FirstName, Direction: In, DataType: String, Value: , Size: 100
2017-03-30 16:07:12,142 | [57] | DefaultLogger | INFO  - Parameter: Name: @LastName, Direction: In, DataType: String, Value: , Size: 100
2017-03-30 16:07:12,143 | [57] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-03-30 16:07:12,150 | [57] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-03-30 16:07:12,151 | [57] | DefaultLogger | DEBUG - Connection closed...
2017-03-30 16:07:13,060 | [69] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-03-30 16:07:13,062 | [69] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-03-30 16:07:13,063 | [69] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-03-30 16:07:13,064 | [69] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-03-30 16:07:13,065 | [69] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-03-30 16:07:13,066 | [69] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Buyer_GetBuyerList' object created...
2017-03-30 16:07:13,067 | [69] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-03-30 16:07:13,069 | [69] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-03-30 16:07:13,070 | [69] | DefaultLogger | INFO  - AddCommandParameters: parameter count - 6
2017-03-30 16:07:13,071 | [69] | DefaultLogger | INFO  - Parameter: Name: @ClientID, Direction: In, DataType: Int, Value: 1, Size: -1
2017-03-30 16:07:13,072 | [69] | DefaultLogger | INFO  - Parameter: Name: @StartIndex, Direction: In, DataType: Int, Value: 11, Size: -1
2017-03-30 16:07:13,073 | [69] | DefaultLogger | INFO  - Parameter: Name: @PageSize, Direction: In, DataType: Int, Value: 10, Size: -1
2017-03-30 16:07:13,074 | [69] | DefaultLogger | INFO  - Parameter: Name: @BuyerCode, Direction: In, DataType: String, Value: , Size: 20
2017-03-30 16:07:13,074 | [69] | DefaultLogger | INFO  - Parameter: Name: @FirstName, Direction: In, DataType: String, Value: , Size: 100
2017-03-30 16:07:13,075 | [69] | DefaultLogger | INFO  - Parameter: Name: @LastName, Direction: In, DataType: String, Value: , Size: 100
2017-03-30 16:07:13,076 | [69] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-03-30 16:07:13,082 | [69] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-03-30 16:07:13,083 | [69] | DefaultLogger | DEBUG - Connection closed...
2017-03-30 16:07:13,886 | [57] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-03-30 16:07:13,888 | [57] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-03-30 16:07:13,889 | [57] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-03-30 16:07:13,891 | [57] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-03-30 16:07:13,891 | [57] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-03-30 16:07:13,894 | [57] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Buyer_GetBuyerList' object created...
2017-03-30 16:07:13,895 | [57] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-03-30 16:07:13,896 | [57] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-03-30 16:07:13,896 | [57] | DefaultLogger | INFO  - AddCommandParameters: parameter count - 6
2017-03-30 16:07:13,897 | [57] | DefaultLogger | INFO  - Parameter: Name: @ClientID, Direction: In, DataType: Int, Value: 1, Size: -1
2017-03-30 16:07:13,897 | [57] | DefaultLogger | INFO  - Parameter: Name: @StartIndex, Direction: In, DataType: Int, Value: 1, Size: -1
2017-03-30 16:07:13,898 | [57] | DefaultLogger | INFO  - Parameter: Name: @PageSize, Direction: In, DataType: Int, Value: 10, Size: -1
2017-03-30 16:07:13,898 | [57] | DefaultLogger | INFO  - Parameter: Name: @BuyerCode, Direction: In, DataType: String, Value: , Size: 20
2017-03-30 16:07:13,898 | [57] | DefaultLogger | INFO  - Parameter: Name: @FirstName, Direction: In, DataType: String, Value: , Size: 100
2017-03-30 16:07:13,899 | [57] | DefaultLogger | INFO  - Parameter: Name: @LastName, Direction: In, DataType: String, Value: , Size: 100
2017-03-30 16:07:13,899 | [57] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-03-30 16:07:13,902 | [57] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-03-30 16:07:13,903 | [57] | DefaultLogger | DEBUG - Connection closed...
2017-03-30 16:07:16,171 | [57] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-03-30 16:07:16,172 | [57] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-03-30 16:07:16,174 | [57] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
